Station Name,Charging Time (min)_0,Charging Time (min)_1,Charging Time (min)_2,Charging Time (min)_3,Charging Time (min)_4,Charging Time (min)_5,Charging Time (min)_6,Occupied Time (min)_0,Occupied Time (min)_1,Occupied Time (min)_2,Occupied Time (min)_3,Occupied Time (min)_4,Occupied Time (min)_5,Occupied Time (min)_6
PALO ALTO CA / SHERMAN 3,374.46666666666664,89.4,0.0,118.11666666666666,288.45,8.75,289.0833333333333,383.5,89.71666666666667,0.0,118.75,305.0,8.983333333333333,310.5833333333333
PALO ALTO CA / SHERMAN 4,130.78333333333333,0.0,0.0,219.28333333333333,0.0,0.0,46.55,131.16666666666666,0.0,0.0,237.25,0.0,0.0,46.96666666666667
PALO ALTO CA / SHERMAN 5,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,29.133333333333333,0.0,0.0
PALO ALTO CA / SHERMAN 6,0.0,0.0,0.0,223.86666666666667,95.01666666666667,0.0,0.0,0.0,0.0,0.0,224.38333333333333,128.6,0.0,0.0
PALO ALTO CA / SHERMAN 7,0.0,0.0,0.0,35.083333333333336,203.5,224.51666666666668,306.43333333333334,0.0,0.0,0.0,71.71666666666667,204.18333333333334,225.0,306.6666666666667
PALO ALTO CA / SHERMAN 8,0.0,0.0,0.0,0.0,221.0,298.66666666666663,165.95,0.0,0.0,0.0,0.0,221.0,553.75,166.43333333333334
PALO ALTO CA / SHERMAN 9,0.0,0.0,0.0,0.0,0.0,0.0,48.15,0.0,0.0,0.0,0.0,0.0,0.0,48.43333333333333
PALO ALTO CA / TED THOMPSON #1,195867.8,234046.06666666668,219929.65,220248.56666666668,186592.83333333334,108391.03333333334,118273.93333333333,232965.25,280705.01666666666,270943.9166666667,270553.5,226506.0,145813.61666666667,148643.1
PALO ALTO CA / TED THOMPSON #2,55608.433333333334,62733.11666666667,55427.55,56797.2,43747.6,18588.75,21471.533333333333,61208.21666666667,69137.33333333333,61902.95,64618.0,48840.066666666666,23432.716666666667,23863.466666666667
PALO ALTO CA / TED THOMPSON #3,49496.61666666667,59072.03333333333,57327.01666666667,58447.816666666666,43129.51666666667,21557.266666666666,25766.566666666666,54867.7,65203.15,64169.73333333333,64796.8,48338.6,24908.433333333334,30573.75
PALO ALTO CA / TED THOMPSON #4,47467.05,59585.48333333333,55387.9,55092.46666666667,40195.4,15654.75,19660.95,52676.066666666666,66437.53333333334,62356.78333333333,62827.01666666666,44020.5,17515.383333333335,23029.683333333334
PALO ALTO CA / WEBSTER #1,275589.93333333335,278867.51666666666,289818.4666666667,283136.85,280107.6,203511.65,178529.68333333332,345090.5,364934.75,362753.25,363930.75,354538.05,269144.7166666667,231485.41666666666
PALO ALTO CA / WEBSTER #2,238305.1,248007.25,262411.9666666667,263397.35,255610.61666666667,170468.0,146712.38333333333,300508.9666666667,326538.43333333335,334137.2166666667,341136.01666666666,324318.5833333333,232519.55,196988.91666666666
PALO ALTO CA / WEBSTER #3,197213.5,202006.7,216376.46666666667,210348.16666666666,204062.65,128892.33333333333,109395.2,238985.15,257265.96666666667,269538.88333333336,265852.9,256172.71666666667,169561.36666666667,143865.33333333334
